ID,Name
grid.462540.1,National Geospatial-Intelligence Agency (NIMA)
grid.279885.9,National Heart Lung and Blood Institute (NHLBI)
grid.467654.2,National Highway Traffic Safety Administration (NHTSA)
grid.280128.1,National Human Genome Research Institute (NHGRI)
grid.451056.3,National Institute for Health Research (NIHR)
grid.457946.d,National Institute for Mathematical and Biological Synthesis (NIMBioS)
grid.416809.2,National Institute for Occupational Safety and Health (NIOSH)
grid.419681.3,National Institute of Allergy and Infectious Diseases (NIAID)
grid.420086.8,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)
grid.280347.a,National Institute of Biomedical Imaging and Bioengineering (NIBIB)
grid.419633.a,National Institute of Dental and Craniofacial Research (NIDCR)
grid.419635.c,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
grid.280664.e,National Institute of Environmental Health Sciences (NIEHS)
grid.482914.2,National Institute of Food and Agriculture (NIFA)
grid.280785.0,National Institute of General Medical Sciences (NIGMS)
grid.484220.8,National Institute of Justice (NIJ)
grid.416868.5,National Institute of Mental Health (NIMH)
grid.416870.c,National Institute of Neurological Disorders and Stroke (NINDS)
grid.280738.6,National Institute of Nursing Research (NINR)
grid.94225.38,National Institute of Standards and Technology (NIST)
grid.419475.a,National Institute on Aging (NIA)
grid.420085.b,National Institute on Alcohol Abuse and Alcoholism (NIAAA)
grid.214431.1,National Institute on Deafness and Other Communication Disorders (NIDCD)
grid.473857.a,"National Institute on Disability, Independent Living, and Rehabilitation Research (NIDILRR)"
grid.420090.f,National Institute on Drug Abuse (NIDA)
grid.281076.a,National Institute on Minority Health and Health Disparities (NIMHD)
grid.94365.3d,National Institutes of Health (NIH)
grid.410305.3,National Institutes of Health Clinical Center (CLC)
grid.453023.3,National Nuclear Security Administration (NNSA)
grid.3532.7,National Oceanic and Atmospheric Administration (NOAA)
grid.454846.f,National Park Service (NPS)
grid.454847.e,National Pork Board
grid.419357.d,National Renewable Energy Laboratory (NREL)
grid.457896.1,National Science Board (NSF NSB)
grid.431093.c,National Science Foundation (NSF)
grid.482831.4,National Security Agency (NSA)
grid.454848.1,National Space Biomedical Research Institute (NSBRI)
grid.420427.7,Naval Air Systems Command (NAVAIR)
grid.419445.9,Naval Information Warfare Center Pacific (SPAWAR)
grid.415913.b,Naval Medical Research Center (NMRC)
grid.462643.1,Naval Sea Systems Command (NAVSEA)
grid.473834.f,NIHR Academy (TCC)
grid.473755.7,NIHR Central Commissioning Facility (CCF)
grid.473757.5,NIHR Evaluation Trials and Studies Coordinating Centre (NETS)
grid.135519.a,Oak Ridge National Laboratory (ORNL)
grid.467641.6,"Office for State, Tribal, Local and Territorial Support (OSTLTS)"
grid.457789.0,Office of Advanced Cyberinfrastructure (NSF OAC)
grid.453070.5,Office of Advanced Scientific Computing Research (ASCR)
grid.452988.a,Office of Basic Energy Sciences (BES)
grid.452963.f,Office of Biological and Environmental Research (BER)
grid.457758.c,"Office of Budget, Finance and Award Management (NSF BFA)"
grid.453518.e,Office of Dietary Supplements (ODS)
grid.453355.1,Office of Electricity Delivery and Energy Reliability (OE)
grid.457829.5,Office of Emerging Frontiers and Multidisciplinary Activities (NSF EFMA)
grid.453003.1,Office of Energy Efficiency and Renewable Energy (EERE)
grid.457407.5,Office of Environmental Management (EM)
grid.436341.7,Office of Extramural Research (OER)
grid.453259.c,Office of Fossil Energy (FE)
grid.453030.1,Office of Fusion Energy Sciences (FES)
grid.457907.8,Office of Information and Resource Management (NSF OIRM)
grid.473792.c,Office of Inspector General (OIG)
grid.457900.f,Office of Integrative Activities (NSF OIA)
grid.457904.b,Office of International Science and Engineering (NSF OISE)
